code,title,url,phone,is_major
3H,"Air Inuit",https://www.airinuit.com/en,800-361-2965,0
3I,"Air Comet Chile",,,0
3J,"Jubba Airways",https://jubbaairways.com/,"254 20 2325573",0
3K,"Jetstar Asia Airways",https://www.jetstar.com/,866-397-8170,0
3L,"Air Arabia Abu Dhabi",,,0
3M,"Silver Airways",https://www.silverairways.com/,801-401-9100,0
3N,"Air Urga/air Urga",,,0
3O,"Air Arabia Maroc",https://www.airarabia.com/en/air-arabia-maroc,"080 2000 803",0
3P,"Tiara Air",,,0
3Q,"Yunnan Airlines",,,0
3R,"Divi Divi Air",,,0
3S,"Air Antilles Express",,,0
3T,"Turan Air",,,0
3U,"Sichuan Airlines",https://global.sichuanair.com/www/?country=CA-EN#/home,86-28-8888-888,0
3V,"ASL Airlines Belgium",,,0
3W,"Malawian Airlines",,,0
3X,"Premier Trans Aire",,,0
3Y,"Baseops International",,,0
3Z,"Smartwings Poland",,,0
47,88,,,0
4A,"ATSA Airlines",,,0
4B,BoutiqueAir,http://www.boutiqueair.com/,855-268-8478,0
4C,"LATAM Colombia",,"1 866 435-9526",0
4D,"Air Sinai",,,0
4E,"Stabo Air",,,0
4F,"Freedom Airline Express",,,0
4G,Gazpromavia,,,0
4H,HiSky,,1-800-241-6522,0
4I,IZAir,,,0
4J,"Jetair Caribbean",,,0
4K,"Askari Aviation",,,0
4L,Euroline,,,0
4M,"LATAM Argentina",https://www.latam.com/fr_fr/,"1 888 235 9826",0
4N,"Air North",,,0
4O,Interjet,https://www.interjet.com,1-844-874-4053,0
4P,"Regional sky",,,0
4Q,"Safi Airlines",,,0
4R,Renfe,,,0
4S,"Solar Cargo",,,0
4T,"Rise Air",,,0
4U,germanwings,https://www.eurowings.com/en.html,1-845-709-8332,0
4V,"Fly Gangwon",,,0
4W,"Allied Air",,,0
4X,"Red Jet Mexico",,,0
4Y,"Eurowings Discover",,,0
4Z,"Airlink (SAA)",,,0
5A,"Alpine Air Express",,,0
5B,"Bassaka Air",,,0
5C,"Nature Air",,800-235-9272,0
5D,Aerolitoral,,1-800-237-6639,0
5E,"SGA Airlines",,,0
5F,"FLY ONE",,,0
5G,MAYAir,,,0
5H,Fly540,,,0
5J,"Cebu Pacific",,"632 7020888",0
5K,"Hi Fly",,,0
5L,Aerosur,,,0
5M,Sibaviatrans,,,0
5N,Smartavia,,,0
5O,"ASL Airlines France",,,0
5P,"Small Planet Airlines",,,0
5Q,"Holiday Europe",,,0
5R,"Rutaca Airlines",,,0
5S,S.A.P.,,,0
5T,"Canadian North",http://www.cdnair.ca/,1-800-661-1505,0
5U,"Transportes Aéreos Guatemaltecos",,,0
5V,"Everts Air Cargo",,,0
5W,"Wizz Air Abu Dhabi",,,0
5X,UPS,,,0
5Y,"Atlas Air",,,0
5Z,"Cem Air",,,0
69,"Royal European Airlines",,,0
6A,"Armenia Airways",,,0
6B,"TUI fly Nordic",,1-800-538-2583,0
6C,"Connect Linhas Aereas",,,0
6D,"Pelita Air",,,0
6E,"IndiGo Airlines",https://www.goindigo.in/,"+91 (0)124 435 2500",0
6F,"Primera Air Nordic",,,0
6G,"Air Wales",,,0
6H,Israir,,,0
6I,"Alsie Express",,,0
6J,"Solaseed Air",,,0
6K,"Asian Spirit",,,0
6L,Aklak,,,0
6M,"Maximus Air",,,0
6N,"Niger Airlines",,,0
6O,Orbest,,,0
6P,"Gryphon Airlines",,,0
6Q,"Cham Wings Airlines",,,0
6R,Alrosa,,,0
6S,"SaudiGulf Airlines",,,0
6T,"Air Mandalay",,,0
6U,"Air Cargo Germany",,,0
6V,"Lignes Aeriennes Congolaises",,,0
6W,FlyBosnia,,,0
6X,"Amadeus Six",,,0
6Y,"SmartLynx Airlines",,,0
6Z,"Euro-Asia Air",,,0
76,Southjet,,,0
77,"Southjet connect",,,0
78,"Southjet cargo",,,0
7A,"Express Air",,,0
7B,"Bees Airline",,,0
7C,"Jeju Air",,,0
7D,"Madagasikara Airways",,,0
7E,"Sylt Air",,,0
7F,"First Air",https://firstair.ca/,800-267-1247,0
7G,"Star Flyer",,,0
7H,"Ravn Alaska",,,0
7I,"Insel Air",http://www.fly-inselair.com/,,0
7J,"Tajik Air",,,0
7K,"Kogalymavia Air Company",,,0
7L,"Sun D’Or",,,0
7M,"MAP Linhas Aéreas",,,0
7N,"Pawa Dominicana",https://pawadominicana.com/en/,,0
7O,"Smartwings Hungary Kft",,,0
7P,AirPanama,,,0
7Q,"Elite Airways",,,0
7R,Rusline,,,0
7S,"Ryan Air",,,0
7T,Trenitalia,,,0
7U,"Commercial Aviation Services",,,0
7V,"Federal Airlines",,,0
7W,"Windrose Airlines",,,0
7X,"Amadeus Seven",,,0
7Y,"Mann Yadanarpon Airlines",,,0
7Z,"EZ Air",,,0
8A,"Atlas Blue",,,0
8B,TransNusa,,,0
8C,ATI,,,0
8D,Astair,,,0
8E,"Bering Air",,,0
8F,"STP Airways",,,0
8G,"Mid Africa Aviation",,,0
8H,"Heli France",,,0
8I,MyAir,,800-882-7822,0
8J,"Eco Jet",,,0
8K,"K-Mile Air",,,0
8L,"Lucky air",,,0
8M,"Myanmar Airways",,,0
8N,"Regional Air Services",,,0
8O,"West Coast Air",,,0
8P,"Pacific Coastal Airline",https://www.pacificcoastal.com/,800-663-2872,0
8Q,"Onur Air",,,0
8R,"Sol Líneas Aéreas",,,0
8S,Turbojet,,,0
8T,"Air Tindi",,,0
8U,"Afriqiyah Airways",,,0
8V,"Wright Air Service",,,0
8W,"Fly Allways",,,0
8Y,"Pan Pacific Airlines",,,0
8Z,"Wizz Air Hungary",,,0
99,"Ciao Air",,,0
9A,"GCA Airlines",,,0
9B,AccesRail,,,0
9C,"Spring Airlines",,,0
9D,"Genghis Khan Airlines",,,0
9E,"Endeavor Air",,,0
9F,Eurostar,,,0
9G,"9G Rail",,,0
9H,"Air Changan",,,0
9I,"Alliance Air",,,0
9J,"Dana Airlines Limited",,,0
9K,"Cape Air",https://www.capeair.com/,800-352-0714,0
9L,"Colgan Air",,,0
9M,"Central Mountain Air",https://www.flycma.com/,888-865-8585,0
9N,"Tropic Air Limited",https://www.tropicair.com/,501-226-2626,0
9O,"Transportes Aereos Inter",,,0
9P,"Air Arabia Jordan",,,0
9Q,"PB Air",,,0
9R,SATENA,,,0
9S,"Southern Air",,,0
9T,"ACT Airlines",,,0
9U,"Air Moldova",,,0
9V,"Avior Airlines",http://www.aviorair.com,,0
9W,"Jet Airways",https://www.jetairways.com/Information/home.html,1-877-835-9538,0
9X,"Southern Airways Express",,18003290485,0
9Y,"Air Kazakhstan",,,0
A0,"Avianca Argentina",,,0
A1,"A.P.G. Distribution System",,,0
A2,Animawings,,,0
A3,Aegean,https://en.aegeanair.com/,833-673-6110,0
A4,Azimuth,,,0
A5,HOP!,,,0
A6,"Air Travel",,,0
A7,"Calafia Airlines",,,0
A8,"Aerolink Uganda",,,0
A9,"Georgian Airways",,,0
AA,"American Airlines",https://www.aa.com/homePage.do,800-433-7300,1
AB,"Air Berlin",https://www.airberlin.com,1-866-266-5588,0
AC,"Air Canada",https://www.aircanada.com/ca/en/aco/home.html,888-247-2262,1
AD,Azul,https://www.voeazul.com.br/en/home,888-587-2985,0
AE,"Mandarin Airlines",,,0
AF,"Air France",https://wwws.airfrance.ca/en,800-667-2747,1
AG,"Aruba Airlines",http://www.arubaairlines.com/,,0
AH,"Air Algerie",https://airalgerie.dz/en/,"213 21 98 63 6",0
AI,"Air India Limited",https://www.airindia.in/,888-634-1407,0
AJ,"Aero Contractors",,,0
AK,AirAsia,,,0
AL,"Malta Air",,,0
AM,AeroMéxico,https://aeromexico.com/en-ca,"800 237- 6639",0
AN,"Advanced Air",,,0
AO,"Avianova (Russia)",,,0
AP,AlbaStar,,,0
AQ,"9 Air",,,0
AR,"Aerolineas Argentinas",https://www.aerolineas.com.ar/en-ar,800-333-0276,0
AS,"Alaska Airlines",https://www.alaskaair.com/,800-252-7522,1
AT,"Royal Air Maroc",https://www.royalairmaroc.com/ca-en,800-344-6726,0
AU,"Canada Jetlines",,,0
AV,Avianca,https://www.avianca.com/ca/en/,800-722-8222,0
AW,"Africa World Airlines",https://www.flyafricaworld.com/,800-200-200,0
AX,"Trans States Airlines",,,0
AY,Finnair,https://www.finnair.com/ca-en,647-946-9431,0
AZ,"ITA Airways",https://www.itaspa.com/en_en/,866-725-7077,0
B0,"La Compagnie",,"212 237 1790",0
B1,"Baltic Air lines",,,0
B2,"Belavia Belarusian Airlines",https://en.belavia.by/,,0
B3,"Bhutan Airlines",,,0
B4,ZanAir,,,0
B5,"East African",,,0
B6,"JetBlue Airways",https://www.jetblue.com/,800-538-2583,0
B7,"Uni Air",,,0
B8,"Eritrean Airlines",,,0
B9,"Air Bangladesh",,,0
BA,"British Airways",https://www.britishairways.com/,1800-247-9297,1
BB,"Seaborne Airlines",,,0
BC,"Skymark Airlines",,,0
BD,"Cambodia Bayon Airlines",,,0
BE,flybe,,"371 700 2000",0
BF,"French Bee",https://www.frenchbee.com/en,833-376-7158,0
BG,"Biman Bangladesh Airlines",,"880 2911 9995",0
BH,Hawkair,,,0
BI,"Royal Brunei Airlines",,,0
BJ,NouvelAir,,,0
BK,"Okay Airways",,,0
BL,"Jetstar Pacific",,"61 3 9645 5999",0
BM,flybmi,,,0
BN,Luxwing,,,0
BO,"Bluebird Nordic",,,0
BP,"Air Botswana",,800-518-7781,0
BQ,"Buquebus Líneas Aéreas",,,0
BR,"EVA Air",https://www.evaair.com/en-us/index.html,800-695-1188,0
BS,"US-Bangla Airlines",,,0
BT,airBaltic,https://www.evaair.com/fr-fr/index.html,800-548-8181,0
BU,"Compagnie Africaine d’Aviation CAA",,,0
BV,"Luke Air",,,0
BW,"Caribbean Airlines",https://www.caribbean-airlines.com/#/,800-920-4225,0
BX,"Air Busan",,,0
BY,"TUI Airways",,,0
BZ,"Blue Bird Airways",,,0
C0,Centralwings,,,0
C1,CanXpress,,,0
C2,"Ceiba Intercontinental",,,0
C3,"Trade Air",,,0
C4,LionXpress,,,0
C5,CommutAir,,,0
C6,"Canjet Airlines",,800-809-7777,0
C7,"Cinnamon Air",,,0
C8,"Cronos Airlines",,,0
C9,SkyWise,,,0
CA,"Air China",https://www.airchina.ca/,800-882-8122,1
CB,"CCML Airlines",,,0
CC,"CM Airlines",,,0
CD,"Corendon Dutch Airlines B.V.",,,0
CE,Chalair,,,0
CF,"City Airline",,,0
CG,"PNG Air",,"675 325 2011",0
CH,"Bemidji Airlines",,800-332-7133,0
CI,"China Airlines",https://www.china-airlines.com/us/en,800-227-5118,0
CJ,"BA CityFlyer",,,0
CK,"China Cargo",,,0
CL,"Lufthansa CityLine",,,0
CM,"Copa Airlines",https://www.copaair.com/en/web/ca,647-493-5022,0
CN,"Grand China Air",,,0
CO,"Cobalt Air",,1-800-523-3273,0
CP,"Compass Airlines",,,0
CQ,"Coastal Aviation",,,0
CS,"Continental Micronesia",,,0
CT,"Alitalia Cityliner",,1-800-223-5730,0
CU,"Cubana de Aviación",http://www.cubana.cu/,,0
CV,Cargolux,,1-800-866-2885,0
CW,"Air Marshall Islands",,1-692-625-3733,0
CX,"Cathay Pacific",https://www.cathaypacific.com/cx/en_CA.html,833-895-3535,0
CY,"Cyprus Airways",https://www.flyniki.com/fr/start.php,,0
CZ,"China Southern Airlines",https://www.csair.com/ca/en/index.shtml,"86 4008695539-",1
D0,"DHL Air",,,0
D1,"Domenican Airlines",,,0
D2,"Severstal Air Company",,,0
D3,"Daallo Airlines",,,0
D4,Aerodart,,,0
D5,"DHL Aero Expreso",,,0
D6,"Interair South Africa",,,0
D7,"AirAsia X",,,0
D8,"Norwegian International",,1-800-357-4159,0
D9,Aeroflot-Don,,,0
DA,"Aerolinea de Antioquia",,,0
DB,"Brit Air",,,0
DC,"Braathens Regional Airways",,,0
DD,"Nok Air",,,0
DE,Condor,https://www.condor.com/us,866-960-7915,0
DF,"Michael Airlines",,,0
DG,CebGo,,,0
DH,"Dennis Sky",,,0
DI,"Norwegian Air UK",,1-800-357-4159,0
DJ,"AirAsia Japan",,,0
DK,"Sunclass Airlines",,,0
DL,"Delta Air Lines",https://www.delta.com/ca/en,800-221-1212,1
DM,Arajet,,,0
DN,"Norwegian Air Argentina",,,0
DO,"Dominicana de Aviaci",,,0
DP,Pobeda,,,0
DQ,"Coastal Air",,,0
DR,"Ruili Airlines",,,0
DS,"EasyJet (DS)",,"44330 3655454",0
DT,"TAAG Angola Airlines",http://www.taag.com/,,0
DU,"Air Liaison",,,0
DV,"Scat Airlines",,,0
DW,"Great Dane Airlines",,,0
DX,"DAT Danish Air Transport",,,0
DY,Norwegian,https://www.norwegian.com/us/,"47 2149 00 15",0
DZ,"Donghai Airlines",,,0
E0,Eos,,,0
E1,"Usa Sky Cargo",,,0
E2,"Eurowings Europe",,"44 330 365 191",0
E3,"EGO Airways",,,0
E4,"Enter Air",,,0
E5,"Air Arabia Egypt",,,0
E6,"Bringer Air Cargo Taxi",,,0
E7,"Equaflight Services",,,0
E8,Tayaranjet,,,0
E9,"Iberojet Airlines",,,0
EA,"Emerald Airlines",,,0
EB,"Wamos Air",,,0
EC,"Easyjet Europe",,"44330 3655454",0
ED,AirExplore,,,0
EE,RegionalJet,,,0
EF,EF,,,0
EG,"Ernest Airlines",,,0
EH,"ANA Wings",,,0
EI,"Aer Lingus",https://www.aerlingus.com/html/en-CA/home.html,800-474-7424,0
EJ,"New England Airlines",,800-243-2460,0
EK,Emirates,https://www.emirates.com/ca/english/,800-777-3999,1
EL,Ellinair,,,0
EM,"Empire Airlines",,,0
EN,"Air Dolomiti",,,0
EO,"Pegas Fly",,,0
EP,"Iran Aseman Airlines",,,0
EQ,TAME,https://www.tame.com.ec/index.php/en/,"1800 430 2471",0
ER,SereneAir,,,0
ES,"Estelar Latinoamerica",,,0
ET,"Ethiopian Airlines",https://www.ethiopianairlines.com/aa/en,613-701-6473,0
EU,"Chengdu Airlines",,,0
EV,aha!,,,0
EW,Eurowings,https://www.eurowings.com/en.html,833-272-1446,0
EX,"Regional Express Americas",,,0
EY,"Etihad Airways",https://www.etihad.com/en-ca/,866-948-1081,0
EZ,"Sun Air of Scandinavia",,,0
F0,"Fly Jordan",,,0
F1,"Fly Brasil",,,0
F2,"Safarilink Aviation",,,0
F3,Flyadeal,,,0
F4,"Air Flamenco",,,0
F5,Aerotranscargo,,,0
F6,FlyValan,,,0
F7,"iFly Airlines",,,0
F8,"Flair Airlines",https://flyflair.com/,833-711-2333,0
F9,"Frontier Airlines",https://www.flyfrontier.com/,801-401-9000,0
FA,"Fly Safair",,,0
FB,"Bulgaria Air",https://www.air.bg/en,"359 2 402 04 0",0
FC,"Link Airways",https://www.linkairways.com/,"61 2 6123 1999",0
FD,"Thai AirAsia",,,0
FE,"748 Air Services",,,0
FF,"Tower Air",,,0
FG,"Ariana Afghan Airlines",,,0
FH,"Freebird Airlines",,,0
FI,Icelandair,https://www.icelandair.com/en-ca/,800-223-5500,0
FJ,"Fiji Airways",https://www.fijiairways.com/en-ca/,800-227-4446,0
FK,"Africa West",,,0
FL,"Air Leap",https://www.southwest.com/,1-800-247-8726,0
FM,"Shanghai Airlines",https://fr.ceair.com/fr/,,0
FN,Fastjet,,,0
FO,Flybondi,,,0
FP,"Pelican Airlines",,,0
FQ,"Thomas Cook Airlines",,,0
FR,Ryanair,https://www.ryanair.com/us/en,"44 1279358438",1
FS,Flyr,,,0
FT,"FlyEgypt FT",,,0
FU,"Fuzhou Airlines",,,0
FV,"Rossiya-Russian Airlines",,"812 333-22-22",0
FW,"Ibex Airlines",,,0
FX,"Fedex Airlines",,,0
FY,Firefly,,,0
FZ,"Fly Dubai",https://www.flydubai.com,,0
G0,"Ghana International Airlines",,,0
G1,"Indya Airline Group",,,0
G2,GullivAir,,,0
G3,"Gol Transportes Aéreos",https://www.voegol.com.br/en,855-862-9190,0
G4,"Allegiant Air",https://www.allegiantair.com/,702-505-8888,0
G5,"China Express Airlines",,,0
G6,"Air Volga",,,0
G7,"GoJet Airlines",,,0
G8,"Go Air",,,0
G9,"Air Arabia",,,0
GA,"Garuda Indonesia",https://www.garuda-indonesia.com/other-countries/en/index,08041-807-807,0
GB,"BRAZIL AIR",,,0
GC,"Global Feeder Services",,,0
GD,"Aviar PTY LTD",,,0
GE,"LIFT airline",,,0
GF,"Gulf Air Bahrain",https://www.gulfair.com/,855-359-4853,0
GG,"Air Guyane",,,0
GH,Globus,,,0
GI,"Itek Air",,,0
GJ,"Loong Air",,,0
GK,"Jetstar Japan",,"61 3 9645 5999",0
GL,"Air Greenland",,"299 34 34 34",0
GM,"Chair Airlines",,,0
GN,"GNB Linhas Aereas",,,0
GO,"ULS Airlines Cargo",,,0
GP,"APG Airlines",https://www.apg-airlines.com/search?lang=en_US,,0
GQ,"Sky Express",,"0030 215 215 6",0
GR,"Aurigny Air Services",,,0
GS,"Tianjin Airlines",,,0
GT,"Air Guilin",,,0
GU,"Avianca Guatemala",,,0
GV,"Grant Aviation",,,0
GW,"Costa Rica Green Airways",,,0
GX,"GX airlines",,,0
GY,"Colorful Guizhou Airlines",,,0
GZ,"Air Rarotonga",,,0
H1,"Hahn Air",https://www.hahnair.com/,,0
H2,"Sky Airline",,,0
H3,"Thomas Cook Aviation",,,0
H4,"HiSky Europe",,,0
H5,I-Fly,,"1 855 7593665",0
H6,"Bulgarian Air Charter",,1-866-239-0119,0
H7,HiSky,,,0
H8,"Sky Airline Peru",,,0
H9,"Himalaya Airlines",,,0
HA,"Hawaiian Airlines",https://www.hawaiianairlines.com/,800-367-5320,1
HB,"Homer Air",,,0
HC,"Air Senegal",https://flyairsenegal.com/en/home/,877-411-9134,0
HD,"Air Do",,,0
HE,"Luftfahrtgesellschaft Walter",,,0
HF,"Air Cote d’Ivoire",,22921315823,0
HG,"Hibernian Airlines",https://www.flyniki.com/en/start.php,,0
HH,"Taban Airlines",,,0
HI,"Papillon Grand Canyon Helicopters",,,0
HJ,"Tasman Cargo Airlines",,,0
HK,"Yangon Airways",,,0
HM,"Air Seychelles",,,0
HN,Equair,,,0
HO,"Juneyao Airlines",,,0
HP,"Amapola Flyg",,,0
HQ,"Thomas Cook Belgium",,,0
HR,"Hahn Airlines",https://www.hahnair.com/en,"855-HAHNAIR (4",0
HS,"Heli Securite",,,0
HT,"Air Horizont",,,0
HU,"Hainan Airlines",https://www.hainanairlines.com/CA/GB/Home,888-688-8813,0
HV,Transavia,https://www.transavia.com/en-EU/home/,"31 20 4060406",0
HW,Hello,,,0
HX,"Hong Kong Airlines",https://www.hongkongairlines.com/en_CA/homepage,1-855-393-3880,0
HY,"Uzbekistan Airways",,"371 67324563",0
HZ,"Aurora Airlines",,,0
I0,"LEVEL operated by Iberia",,,0
I2,"Iberia Express",,1-800-772-4642,0
I3,"ATA Airlines (Iran)",,,0
I4,"Island Air Express",,,0
I5,"AirAsia India",,,0
I6,"Air indus",,,0
I7,"Int’Air Iles",,,0
I8,Izhavia,,,0
I9,"Air Italy",,"1 800 746-1888",0
IA,"Iraqi Airways",,,0
IB,"Iberia Airlines",https://www.iberiaexpress.com/en,"0034 919 046 3",0
IC,"Indian Airlines",,,0
ID,"Batik Air",,,0
IE,"Solomon Airlines",,800-677-4277,0
IF,"Fly Baghdad Airlines",,,0
IG,"Air Italy",https://www.airitaly.com/fr-fr/,"1 800 746-1888",0
IH,"Southern Sky",,,0
II,"IBC Airways",,,0
IJ,"Spring Airlines Japan",,,0
IK,"Air Kiribati",,,0
IL,"Trigana Air",,,0
IM,"Jupiter Jet",,,0
IN,"Nam Air",,,0
IO,IrAero,,,0
IP,"Island Spirit",,,0
IQ,"Qazaq Air",,,0
IR,"Iran Air",,,0
IS,"Fly Ais Airlines",,800-323-3345,0
IT,"Tigerair Taiwan",,,0
IU,"Super Air Jet",,,0
IV,"GP Aviation",,,0
IW,"Wings Air",,,0
IX,"Air India Express",,800-223-7776,0
IY,Yemenia,,,0
IZ,Arkia,,,0
J0,"Jam Air Link Express Limited",,,0
J1,"One Jet",,,0
J2,"Azerbaijan Airlines",https://www.azal.az/en/,"994 (12) 598-8",0
J3,"Northwestern Air",,,0
J4,"Badr Airlines",,,0
J5,"Alaska Seaplane Service",,,0
J6,"Jet Ops",,,0
J7,"Afrijet Business Service",,,0
J8,"Berjaya Air",,,0
J9,"Jazeera Airways",,,0
JA,JetSMART,,,0
JB,Helijet,,,0
JC,"JAL Express",,,0
JD,"Beijing Capital Airlines",,86-95071999,0
JE,Mango,,,0
JF,Jetairfly,,,0
JG,JetGo,,,0
JH,"Fuji Dream Airlines",,,0
JI,"Meraj Air",,800-446-4392,0
JJ,"LATAM Brasil",https://www.latam.com,"1 888 235 9826",0
JK,Spanair,,,0
JL,"Japan Airlines",https://www.jal.co.jp/ar/en/?city=YVR,1-800-525-3663,1
JM,Jambojet,,,0
JN,JOON,,,0
JO,"Jonika airlines",,,0
JP,"Adria Airways",https://www.adria.si/fr/,,0
JQ,"Jetstar Airways",https://www.jetstar.com/,866-397-8170,0
JR,"Joy Air",,"1-800-AERO CAL",0
JS,"Air Koryo",,,0
JT,"Lion Air",,,0
JU,"Air Serbia",http://www.jetupaviation.com/,833-538-7249,0
JV,"Perimeter Aviation",,,0
JW,"Vanilla Air",,,0
JX,"Starlux Airlines",,,0
JY,"interCaribbean Airways",https://www.intercaribbean.com/,888-957-3223,0
JZ,"JetSMART Peru",,,0
K1,"Kostromskie avialinii",,,0
K2,EuroLot,,,0
K3,"Safe Air Company",,,0
K4,"Kalitta Air",,,0
K5,"Silverstone Air",,,0
K6,"Cambodia Angkor Air",,,0
K7,"Air KBZ",,,0
K8,"Kan Air",,,0
K9,"KrasAvia (old iata)",,,0
KA,"Cathay Dragon",https://www.cathaypacific.com/cx/fr_FR.html,,0
KB,"Druk Air",,,0
KC,"Air Astana",,,0
KD,"Kalstar Aviation",,,0
KE,"Korean Air",https://www.koreanair.com/ca/en,800-438-5000,0
KF,"Air Belgium",,,0
KG,"Key Lime Air",,,0
KH,"Aloha Air Cargo",,800-367-5250,0
KI,"SKS Airways",,,0
KJ,"British Mediterranean Airways",,,0
KK,AtlasGlobal,,,0
KL,"KLM Royal Dutch Airlines",https://www.klm.ca/,800-375-8723,0
KM,"Air Malta",,800-756-2582,0
KN,"China United",,,0
KO,Komiaviatrans,,,0
KP,"ASKY Airlines",https://www.flyasky.com/tg/en/,"228 22 23 05 0",0
KQ,"Kenya Airways",https://www.kenya-airways.com/ca/en/,855-967-4428,0
KR,"Cambodia Airways",,,0
KS,"Peninsula Airways",http://www.penair.com/,800-448-4226,0
KT,VickJet,,,0
KU,"Kuwait Airways",https://www.kuwaitairways.com/en,201-582-9200,0
KV,Kavminvodyavia,,,0
KW,"Carnival Air Lines",,,0
KX,"Cayman Airways",https://www.caymanairways.com/,800-422-9626,0
KY,"Kunming Airlines",,,0
KZ,"NCA - Nippon Cargo Airlines",,,0
L0,"Reliant Air",,,0
L2,"Lynden Air Cargo",,,0
L3,"LTU Austria",,,0
L4,"LASA Argentina",,,0
L5,"Atlas Atlantique Airlines",,,0
L6,"Mauritania Airlines International",,,0
L7,"Lugansk Airlines",,,0
L8,"Line Blue",,,0
L9,Lumiwings,,,0
LA,"LATAM Airlines",https://www.latamairlines.com/ca/en,888-235-9826,0
LB,"Air Costa",,,0
LC,"Skyway CR",,,0
LD,AHK,,,0
LE,"Norwegian Air Sweden LE",,,0
LF,"Contour Airlines",,"1 888 332-6686",0
LG,Luxair,,"352 2456 4242",0
LH,Lufthansa,https://www.lufthansa.com/ca/en/homepage,833-951-2503,1
LI,"Leeward Islands Air Transport",http://www.liat.com/,,0
LJ,"Jin Air",,,0
LK,"Lao Skyway",,,0
LL,"China General Aviation",,,0
LM,"LoganAir LM",,,0
LN,"Libyan Arab Airlines",,,0
LO,"LOT Polish Airlines",https://www.lot.com/ca/en,416-236-4242,0
LP,"LATAM Peru",,"1 888 235 9826",0
LQ,"Lanmei Airlines",,,0
LR,"Avianca Costa Rica",https://www.avianca.com/ca/en/,800-722-8222,0
LS,Jet2,,,0
LT,"LongJiang Airlines",,,0
LU,"LATAM Express",,"1 888 235 9826",0
LV,Level,,,0
LW,"Latin American Wings",,,0
LX,"Swiss International Air Lines",https://www.swiss.com/ca/en/homepage,833-951-2504,0
LY,"El Al Israel Airlines",https://www.elal.com/en/Canada/Pages/default.aspx,97239771111,0
LZ,belleair,,,0
M0,"Aero Mongolia",,,0
M1,"Maryland Air",,,0
